date,station,airT,latitude,longitude
2018-07-01T05:00:00Z,airportthf,15.6,52.4675,13.4021
2018-07-01T05:00:00Z,airporttxl,15.2,52.5644,13.3088
2018-07-01T05:00:00Z,albrecht,14.4154,52.444594,13.348607
2018-07-01T05:00:00Z,bamberger,14.1471,52.496494,13.337552
2018-07-01T05:00:00Z,baruth,14.8,52.0613,13.4997
2018-07-01T05:00:00Z,berge,13.8,52.6198,12.7867
2018-07-01T05:00:00Z,brandenburg,14.6,52.3807,13.5306
2018-07-01T05:00:00Z,buch,15.1,52.6309,13.5022
2018-07-01T05:00:00Z,dahlem,14.2,52.4537,13.3017
2018-07-01T05:00:00Z,dahlemerfeld,15.1543,52.477623,13.225339
2018-07-01T05:00:00Z,dessauer,14.4186,52.50467,13.3783
2018-07-01T05:00:00Z,jagen91,12.1201,52.473239,13.225079
2018-07-01T05:00:00Z,kaniswall,15.5,52.404,13.7309
2018-07-01T05:00:00Z,koepenick,11.6399,52.433018,13.615687
2018-07-01T05:00:00Z,lindenberg,14,52.2085,14.118
2018-07-01T05:00:00Z,marzahn,15.5,52.5447,13.5598
2018-07-01T05:00:00Z,muencheberg,13.4,52.5176,14.1232
2018-07-01T05:00:00Z,neuruppin,13.8,52.9037,12.8072
2018-07-01T05:00:00Z,potsdam,14,52.3813,13.0622
2018-07-01T05:00:00Z,rothenburg,13.3703,52.457232,13.315827
2018-07-01T05:00:00Z,spandauer,16.2854,52.536388,13.158442
2018-07-01T05:00:00Z,tiergarten,13.5548,52.514492,13.363593
2018-07-01T05:00:00Z,zehdenick,15.1,52.9664,13.3268
2018-07-01T06:00:00Z,airportthf,17.3,52.4675,13.4021
2018-07-01T06:00:00Z,airporttxl,17.1,52.5644,13.3088
2018-07-01T06:00:00Z,albrecht,16.5643,52.444594,13.348607
2018-07-01T06:00:00Z,bamberger,15.6739,52.496494,13.337552
2018-07-01T06:00:00Z,baruth,16.7,52.0613,13.4997
2018-07-01T06:00:00Z,berge,17,52.6198,12.7867
2018-07-01T06:00:00Z,brandenburg,17.1,52.3807,13.5306
2018-07-01T06:00:00Z,buch,16.5,52.6309,13.5022
2018-07-01T06:00:00Z,dahlem,16.3,52.4537,13.3017
2018-07-01T06:00:00Z,dahlemerfeld,16.7281,52.477623,13.225339
2018-07-01T06:00:00Z,dessauer,16.06,52.50467,13.3783
2018-07-01T06:00:00Z,jagen91,15.2536,52.473239,13.225079
2018-07-01T06:00:00Z,kaniswall,16.5,52.404,13.7309
2018-07-01T06:00:00Z,koepenick,15.497,52.433018,13.615687
2018-07-01T06:00:00Z,lindenberg,16.3,52.2085,14.118
2018-07-01T06:00:00Z,marzahn,15.9,52.5447,13.5598
2018-07-01T06:00:00Z,muencheberg,15.2,52.5176,14.1232
2018-07-01T06:00:00Z,neuruppin,16.4,52.9037,12.8072
2018-07-01T06:00:00Z,potsdam,16.6,52.3813,13.0622
2018-07-01T06:00:00Z,rothenburg,15.6354,52.457232,13.315827
2018-07-01T06:00:00Z,spandauer,18.8974,52.536388,13.158442
2018-07-01T06:00:00Z,tiergarten,15.9315,52.514492,13.363593
2018-07-01T06:00:00Z,zehdenick,16.3,52.9664,13.3268
2018-07-01T07:00:00Z,airportthf,18.2,52.4675,13.4021
2018-07-01T07:00:00Z,airporttxl,19,52.5644,13.3088
2018-07-01T07:00:00Z,albrecht,17.6051,52.444594,13.348607
2018-07-01T07:00:00Z,bamberger,16.745,52.496494,13.337552
2018-07-01T07:00:00Z,baruth,18.6,52.0613,13.4997
2018-07-01T07:00:00Z,berge,18.8,52.6198,12.7867
2018-07-01T07:00:00Z,brandenburg,17.6,52.3807,13.5306
2018-07-01T07:00:00Z,buch,18.1,52.6309,13.5022
2018-07-01T07:00:00Z,dahlem,17.7,52.4537,13.3017
2018-07-01T07:00:00Z,dahlemerfeld,17.4631,52.477623,13.225339
2018-07-01T07:00:00Z,dessauer,17.4144,52.50467,13.3783
2018-07-01T07:00:00Z,jagen91,16.8129,52.473239,13.225079
2018-07-01T07:00:00Z,kaniswall,16.8,52.404,13.7309
2018-07-01T07:00:00Z,koepenick,16.9233,52.433018,13.615687
2018-07-01T07:00:00Z,lindenberg,16.5,52.2085,14.118
2018-07-01T07:00:00Z,marzahn,16.8,52.5447,13.5598
2018-07-01T07:00:00Z,muencheberg,17.9,52.5176,14.1232
2018-07-01T07:00:00Z,neuruppin,17.9,52.9037,12.8072
2018-07-01T07:00:00Z,potsdam,18,52.3813,13.0622
2018-07-01T07:00:00Z,rothenburg,17.3158,52.457232,13.315827
2018-07-01T07:00:00Z,spandauer,20.8576,52.536388,13.158442
2018-07-01T07:00:00Z,tiergarten,17.2765,52.514492,13.363593
2018-07-01T07:00:00Z,zehdenick,17.6,52.9664,13.3268
