date,longitude,latitude,airT
2018-07-01T01:00:00Z,13.293776,52.484238,12.1
2018-07-01T01:00:00Z,13.293022669433,52.504765443839,NA
2018-07-01T01:00:00Z,13.248752,52.50528,11.9
2018-07-01T01:00:00Z,13.2869056,52.5129723,16.5
2018-07-01T01:00:00Z,13.2615991,52.4937378,NA
2018-07-01T01:00:00Z,13.32234,52.581978,12.2
2018-07-01T01:00:00Z,13.34248,52.57075,NA
2018-07-01T01:00:00Z,13.304913286686,52.56696467463,NA
2018-07-01T01:00:00Z,13.34442,52.56168,12
2018-07-01T01:00:00Z,13.37527,52.57355,12.7
2018-07-01T01:00:00Z,13.369787,52.542323,15.5
2018-07-01T01:00:00Z,13.364932,52.568946,14
2018-07-01T01:00:00Z,13.355594839287,52.551224593595,13.6
2018-07-01T01:00:00Z,13.36890290228,52.535863683503,12.4
2018-07-01T01:00:00Z,13.3703357,52.5408915,14.2
2018-07-01T01:00:00Z,13.340345888886,52.553003210561,NA
2018-07-01T01:00:00Z,13.3339968,52.5735863,15.4
2018-07-01T01:00:00Z,13.355343,52.535044,14.1
2018-07-01T01:00:00Z,13.355911,52.560854,13.5
2018-07-01T01:00:00Z,13.26897,52.53653,14.8
2018-07-01T01:00:00Z,13.3872524,52.6177272,15.6
2018-07-01T01:00:00Z,13.303508,52.616632,13.7
2018-07-01T01:00:00Z,13.333541,52.61292,15.7
2018-07-01T01:00:00Z,13.284824,52.633989,12.7
2018-07-01T01:00:00Z,13.300933373997,52.63530756289,NA
2018-07-01T01:00:00Z,13.27256,52.62794,11.6
2018-07-01T01:00:00Z,13.2835829,52.6364676,12.3
2018-07-01T01:00:00Z,13.2263,52.6197,NA
2018-07-01T01:00:00Z,13.23383,52.58679,12.1
2018-07-01T01:00:00Z,13.226719,52.625564,15.3
2018-07-01T01:00:00Z,13.26574,52.634996,10.8
2018-07-01T01:00:00Z,13.24921,52.6065055,12.6
2018-07-01T01:00:00Z,13.313494,52.6876284,NA
2018-07-01T01:00:00Z,13.294302,52.666561,12.1
2018-07-01T01:00:00Z,13.2651011,52.7036306,NA
2018-07-01T01:00:00Z,13.2791,52.71327,12.2
2018-07-01T01:00:00Z,13.44678,52.41368,NA
2018-07-01T01:00:00Z,13.439111,52.407151,14
2018-07-01T01:00:00Z,13.44911,52.41223,12.1
2018-07-01T01:00:00Z,13.4197338,52.3824277,14.7
2018-07-01T01:00:00Z,13.38886,52.40731,13.3
2018-07-01T01:00:00Z,13.40054,52.3869,15.6
2018-07-01T01:00:00Z,13.42119,52.40008,12.6
2018-07-01T01:00:00Z,13.4139569,52.4066077,13.7
2018-07-01T01:00:00Z,13.41785,52.38397,13.4
2018-07-01T01:00:00Z,13.4106652,52.4140413,12.7
2018-07-01T01:00:00Z,13.422116,52.397941,13
2018-07-01T01:00:00Z,13.418439,52.35594,13.4
2018-07-01T01:00:00Z,13.394608,52.337596,13.6
2018-07-01T01:00:00Z,13.417084,52.372308,14.8
2018-07-01T01:00:00Z,13.4259287,52.4675505,15.9
2018-07-01T01:00:00Z,13.426692,52.457345,NA
2018-07-01T01:00:00Z,13.45102,52.4507,12.8
2018-07-01T01:00:00Z,13.449019544434,52.446940701941,13.7
2018-07-01T01:00:00Z,13.428852,52.480667,15.3
2018-07-01T01:00:00Z,13.38985,52.432,15
2018-07-01T01:00:00Z,13.4360059,52.5077598,13.6
2018-07-01T01:00:00Z,13.4279601,52.5041244,13.8
2018-07-01T01:00:00Z,13.39206005846,52.530165178033,13.1
2018-07-01T01:00:00Z,13.401020238098,52.494909824838,15
2018-07-01T01:00:00Z,13.404182,52.507963,12.7
2018-07-01T01:00:00Z,13.4101009,52.4905679,NA
2018-07-01T01:00:00Z,13.413228,52.508637,15
2018-07-01T01:00:00Z,13.389953,52.5103535,NA
2018-07-01T01:00:00Z,13.399893,52.51117,15.5
2018-07-01T01:00:00Z,13.414132,52.492875,16.6
2018-07-01T01:00:00Z,13.400791,52.490591,14.3
2018-07-01T01:00:00Z,13.404274,52.50847,14.8
2018-07-01T01:00:00Z,13.412133455276,52.512254324276,16.1
2018-07-01T01:00:00Z,13.433248,52.533513,NA
2018-07-01T01:00:00Z,13.4455823,52.4925414,NA
2018-07-01T01:00:00Z,13.445931,52.492661,14.8
2018-07-01T01:00:00Z,13.4412262,52.4872474,NA
2018-07-01T01:00:00Z,13.42164,52.53334,14.8
2018-07-01T01:00:00Z,13.432262943991,52.529437261947,15.6
2018-07-01T01:00:00Z,13.44267761264,52.498460852395,NA
2018-07-01T01:00:00Z,13.39999961853,52.516700744629,12.3
2018-07-01T01:00:00Z,13.423751,52.52008,12
2018-07-01T01:00:00Z,13.422196057881,52.533910918366,13.6
2018-07-01T01:00:00Z,13.402314,52.53229,NA
2018-07-01T01:00:00Z,13.460118,52.523066,13.3
2018-07-01T01:00:00Z,13.458178687391,52.5193589685,NA
2018-07-01T01:00:00Z,13.4676185,52.5125509,14.8
2018-07-01T01:00:00Z,13.4709,52.51566,14.7
2018-07-01T01:00:00Z,13.466447004348,52.505625906522,NA
2018-07-01T01:00:00Z,13.467772,52.521453,12.7
2018-07-01T01:00:00Z,13.46921,52.49459,12.9
2018-07-01T01:00:00Z,13.46628,52.52244,14.3
2018-07-01T01:00:00Z,13.44719,52.52188,15.8
2018-07-01T01:00:00Z,13.45035,52.51308,15.5
2018-07-01T01:00:00Z,13.449539560327,52.509493036472,14.9
2018-07-01T01:00:00Z,13.4433765,52.5331189,12.7
2018-07-01T01:00:00Z,13.470037,52.516319,12.1
2018-07-01T01:00:00Z,13.425604132294,52.576116880412,16.4
2018-07-01T01:00:00Z,13.447736120952,52.551824072955,15.1
2018-07-01T01:00:00Z,13.43926,52.54436,12
2018-07-01T01:00:00Z,13.4348141,52.5404598,14.9
2018-07-01T01:00:00Z,13.4306971,52.5395022,13.4
2018-07-01T01:00:00Z,13.41011,52.53959,14.9
2018-07-01T01:00:00Z,13.39661,52.53969,12.4
2018-07-01T01:00:00Z,13.429379979098,52.534507823154,15.2
